scraped_date,store_name,hibuddy_store_id,hibuddy_product_id,name,brand,category,size,image_url,regular_price,sale_price,discount_percent,typical_nearby,in_stock
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,12ea940b6e721dc5623d7ee1c697fe11,Seaweed OG CBD Salt Soak,,,500g,https://hibuddy.ca/assets/pics/12ea940b6e721dc5623d7ee1c697fe11.jpg,45.0,37.17,,45.0,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,0ab3eeadcdb5432f16f89452fbfbbd71,Root Beer Soda,,,355ml,https://hibuddy.ca/assets/pics/0ab3eeadcdb5432f16f89452fbfbbd71.jpg,5.95,4.99,,5.95,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,18f348231d519322ce0378b3bf2ebac7,Blood Orange Yuzu & Vanilla Sparkling Juice,,,1x355ml,https://hibuddy.ca/assets/pics/18f348231d519322ce0378b3bf2ebac7.jpg,7.99,6.85,,7.99,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,a4935aee835d7cb2d146c5a6fb0d4ccc,Cherry Zero,,,355ml,https://hibuddy.ca/assets/pics/a4935aee835d7cb2d146c5a6fb0d4ccc.jpg,6.95,5.98,,6.95,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,ab7202e3f426c3799823d5f2eb40acc1,Black Cherry Zero,,,236ml,https://hibuddy.ca/assets/pics/ab7202e3f426c3799823d5f2eb40acc1.jpg,6.94,5.98,,6.94,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,06d55ab6d7f2bcb950a794a5546bf6f3,Lazer Jet,,,7g,https://hibuddy.ca/assets/pics/06d55ab6d7f2bcb950a794a5546bf6f3.jpg,43.95,37.99,,43.95,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,50f15e26ac454a3905138f8169fa18d0,Foggy Peaches,,,4x355ml,https://hibuddy.ca/assets/pics/50f15e26ac454a3905138f8169fa18d0.jpg,27.5,23.85,,27.5,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,172b0a7087873d02708c8fdb7405e957,Neon Sunshine Live Rosin Happle Sm'hash,,,355ml,https://hibuddy.ca/assets/pics/172b0a7087873d02708c8fdb7405e957.jpg,8.5,7.49,,8.5,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,64a784698aee1c36a8fd69c4fc0f6269,White Walker Craft,,,7g,https://hibuddy.ca/assets/pics/64a784698aee1c36a8fd69c4fc0f6269.jpg,42.99,37.99,,42.99,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,38cad36322e7cee191116563a8f607bd,Blackberry Lemonade,,,355ml,https://hibuddy.ca/assets/pics/38cad36322e7cee191116563a8f607bd.jpg,9.6,8.49,,9.6,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,c39f2735587b7e923df4968c61e53681,BLUE BREATH INFUSED BLNT 0.35g,,,BLUE BREATH INFUSED BLNT 0.35g,https://hibuddy.ca/assets/pics/c39f2735587b7e923df4968c61e53681.jpg,19.99,17.7,,19.99,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,0a79476766cb17456fd3b58a4eb3c156,Hawaiian Rain Sparkling,,,350ml,https://hibuddy.ca/assets/pics/0a79476766cb17456fd3b58a4eb3c156.jpg,7.99,7.08,,7.99,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,f63d521d7dfc2035eae3e153c6443d68,SCREWFACE OG 0.35g,,,SCREWFACE OG 0.35g,https://hibuddy.ca/assets/pics/f63d521d7dfc2035eae3e153c6443d68.jpg,19.95,17.7,,19.95,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,26e782ec114c94a520ddcc90d451100f,Platinum Gas Craft,,,7g,https://hibuddy.ca/assets/pics/26e782ec114c94a520ddcc90d451100f.jpg,42.79,37.99,,42.79,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,e83fbeca0b1b71adf81055149fafb148,Sugar Free 1:1 Orchard Fruit Gems,,,4x3g,https://hibuddy.ca/assets/pics/e83fbeca0b1b71adf81055149fafb148.jpg,5.97,5.31,,5.97,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,9788a959ab59a8522296849702201075,Sweet Cherry Blitz 1g,,,Sweet Cherry Blitz 1g,https://hibuddy.ca/assets/pics/9788a959ab59a8522296849702201075.jpg,14.49,12.95,,14.49,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,568e69ab149da9fc7b9d9f21ce6003b8,Blue Dream Milled,,,2g,https://hibuddy.ca/assets/pics/568e69ab149da9fc7b9d9f21ce6003b8.jpg,9.85,8.85,,9.85,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,f9a4c197cfc7bb4998ded0a94fd0329b,Red Razzleberry,,,,https://hibuddy.ca/assets/pics/f9a4c197cfc7bb4998ded0a94fd0329b.jpg,4.99,4.49,,4.99,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,d424311c223e66a059e7cab5bcdfffbd,Blackberry Lemonade 1:1:1 CBN/CBD/THC,,,,https://hibuddy.ca/assets/pics/d424311c223e66a059e7cab5bcdfffbd.jpg,4.95,4.49,,4.95,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,2c23bad20d7517d7c146ddf74c5bb19c,Blue Razzleberry 3:1 CBG/THC,,,10x5 Pack,https://hibuddy.ca/assets/pics/2c23bad20d7517d7c146ddf74c5bb19c.jpg,4.95,4.49,,4.95,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,6815822a08674bad63a4d31a914d60fa,CBN:THC Strawberry Melon 4:1,,,,https://hibuddy.ca/assets/pics/6815822a08674bad63a4d31a914d60fa.jpg,4.95,4.49,,4.95,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,cfde293816f17da0ee47fbb487e55c31,Sour Cherry Bliss 1:1:1 Cbc/cbg/thc,,,,https://hibuddy.ca/assets/pics/cfde293816f17da0ee47fbb487e55c31.jpg,4.95,4.49,,4.95,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,bd7c6ebf6ceddeba1acf97da0d6cd122,Pink Kush 0.5g,,,Pink Kush 0.5g,https://hibuddy.ca/assets/pics/bd7c6ebf6ceddeba1acf97da0d6cd122.jpg,38.99,35.4,,38.99,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,b01a87e903ac2da7a3ace43be1a3fd81,Pomegranate 4:1 CBD/THC,,,,https://hibuddy.ca/assets/pics/b01a87e903ac2da7a3ace43be1a3fd81.jpg,4.94,4.49,,4.94,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,6586cdccc0977f38cb15c173c8b84c6b,Mango Pineapple & Coconut Sparkling Juice,,,1x355ml,https://hibuddy.ca/assets/pics/6586cdccc0977f38cb15c173c8b84c6b.jpg,7.69,6.99,,7.69,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,d9ec69aed7bc4365af0a5a641ad80c28,Salt And Black Pepper Sunnies,,,50g,https://hibuddy.ca/assets/pics/d9ec69aed7bc4365af0a5a641ad80c28.jpg,7.75,7.08,,7.75,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,80cbb13ea71b95e8859368db67153708,Crash Glow Craft,,,7g,https://hibuddy.ca/assets/pics/80cbb13ea71b95e8859368db67153708.jpg,41.45,37.99,,41.45,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,f12c378208ee0433f6a8049bd244ea45,Blue Razz Lemonade,,,4x355ml,https://hibuddy.ca/assets/pics/f12c378208ee0433f6a8049bd244ea45.jpg,25.99,23.85,,25.99,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,d5aa96f61d9538b892a676e5f326e08d,Neon Rush Red Alert,,,355ml,https://hibuddy.ca/assets/pics/d5aa96f61d9538b892a676e5f326e08d.jpg,6.47,5.98,,6.47,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,72982b9e627666cb64c5ef453e0f4f43,Crazy Cream Soda,,,6x355ml,https://hibuddy.ca/assets/pics/72982b9e627666cb64c5ef453e0f4f43.jpg,26.8,24.78,,26.8,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,928453f263c7f40313473348f6582dcb,Tangie Sunset 0.35g,,,Tangie Sunset 0.35g,https://hibuddy.ca/assets/pics/928453f263c7f40313473348f6582dcb.jpg,18.99,17.7,,18.99,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,f0c49fe25d6417b86179fc680549a361,Pink Kush,,,3.5g,https://hibuddy.ca/assets/pics/f0c49fe25d6417b86179fc680549a361.jpg,118.29,23.01,,118.29,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,1c6a5bf421ef9306fb64a13b2a0f0b91,Coconut Ice Crm Wizard Soda,,,355ml,https://hibuddy.ca/assets/pics/1c6a5bf421ef9306fb64a13b2a0f0b91.jpg,8.0,7.49,,8.0,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,9dbd95afefcb2e7095b5af3510572c7a,Mexican Lime,,,355ml,https://hibuddy.ca/assets/pics/9dbd95afefcb2e7095b5af3510572c7a.jpg,7.99,7.49,,7.99,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,07a81442e751ac5af541701f32d32232,Pink Slurricane,,,1g,https://hibuddy.ca/assets/pics/07a81442e751ac5af541701f32d32232.jpg,32.95,30.97,,32.95,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,6d66803382dd4d0ef9a26e8eafdb38e3,Live Rosin Infused Iced Tea Cali Raspberry,,,355ml,https://hibuddy.ca/assets/pics/6d66803382dd4d0ef9a26e8eafdb38e3.jpg,8.49,7.98,,8.49,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,3eb9f41a426f7256b197c58ac32caee8,Mint & Lime,,,355ml,https://hibuddy.ca/assets/pics/3eb9f41a426f7256b197c58ac32caee8.jpg,7.95,7.49,,7.95,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,8dd11d9632002944fe8a07519eee09e5,Rosin Infused Lemon Green Tea,,,355ml,https://hibuddy.ca/assets/pics/8dd11d9632002944fe8a07519eee09e5.jpg,6.35,5.99,,6.35,True
2026-05-12,BUDSSMOKE,8a91ceb91d495050ab8cc5ef992737b4,0b78de7d8941da88d1618c2fafbcc6b2,Soothe Restorative Facial Cleanser,,,120g,https://hibuddy.ca/assets/pics/0b78de7d8941da88d1618c2fafbcc6b2.jpg,26.25,24.78,,26.25,True
